"","stat","pval","p.adj","num.genes","gene.vals","Driver","DriverNumeric"
"REACTOME_INTERLEUKIN_6_SIGNALING",-0.0419087136929461,0.646374883222589,0.864550381639709,10,"CBL:878, JAK2:6282.5, TYK2:6282.5, STAT1:6282.5, IL6R:6282.5, JAK1:6282.5, PTPN11:6282.5, SOCS3:6282.5, IL6ST:12566, IL6:13554","Unclear",0
"REACTOME_APOPTOSIS",0.00105686957034279,0.965841822880475,0.993542078100278,139,"DYNLL1:25, TNFSF10:183, BID:226, PPP3CC:337, H1-1:507, BCL2L11:610, CASP3:642, PSME1:686, PSME2:808, PSMD2:868, PRKCD:898, RIPK1:1198, PRKCQ:1287, BAD:1467, APPL1:1539, E2F1:1717, FNTA:1759, TFDP2:2191, DAPK3:2532, CD14:2606, CLSPN:2624, DSG3:2671, GAS2:2682, CFLAR:2844, CDH1:2860, DAPK2:2901, BAX:3005, PSMD8:3076, ACIN1:3086, SEM1:3148, UNC5A:3268, PSME4:3361, DIABLO:3405, PSMB7:3502, PSMB1:3599, CASP6:3635, PSMD1:3677, PSMD10:3755, BAK1:3824, CASP8:3894, DAPK1:4165, VIM:8822.5, FAS:8822.5, ROCK1:8822.5, ARHGAP10:8822.5, TP63:8822.5, TP73:8822.5, PKP1:8822.5, ADD1:8822.5, DNM1L:8822.5, PPP1R13B:8822.5, PSMD5:8822.5, DSP:8822.5, PSMB5:8822.5, BMX:8822.5, STK24:8822.5, TRADD:8822.5, MAPK3:8822.5, TJP1:8822.5, BMF:8822.5, GSDMD:8822.5, AKT2:8822.5, BBC3:8822.5, GSDME:8822.5, UNC5B:8822.5, PSMD3:8822.5, C1QBP:8822.5, BIRC2:8822.5, PSMD9:8822.5, LMNB1:8822.5, FASLG:8822.5, TJP2:8822.5, APAF1:8822.5, H1-3:8822.5, PSMF1:8822.5, PSMB2:8822.5, TRAF2:8822.5, PSMA1:8822.5, PSME3:8822.5, CASP9:8822.5, STK26:8822.5, DSG1:8822.5, APC:8822.5, NMT1:8822.5, TLR4:8822.5, TP53:8822.5, AKT1:8822.5, PSMB6:8822.5, CDKN2A:8822.5, GSN:8822.5, APIP:8822.5, LY96:8822.5, PSMA8:8822.5, PSMD4:8822.5, PSMB4:8822.5, DFFA:8822.5, LMNA:8822.5, OMA1:8822.5, PSMD6:8822.5, HMGB2:8822.5, CASP7:8822.5, FADD:8822.5, H1-4:8822.5, PTK2:8822.5, DFFB:8822.5, AVEN:8822.5, UBB:8822.5, BCL2L1:8822.5, BCL2:8822.5, SFN:8822.5, PAK2:8822.5, SATB1:8822.5, H1-5:8822.5, PSMD13:8822.5, BCAP31:8822.5, MAPT:8822.5, DCC:8822.5, H1-2:8822.5, H1-0:8822.5, PSMD12:8822.5, OCLN:8822.5, TFDP1:8822.5, OPA1:8822.5, PSMB8:8822.5, PSMB10:8822.5, PPP3R1:8822.5, DYNLL2:8822.5, SPTAN1:13436, PSMB11:13459, XIAP:13686, PSMB9:13957, DBNL:14478, DSG2:14540, UACA:14612, TICAM2:14815, TP53BP2:14968, UBA52:15002, RPS27A:15046, PLEC:15101","Herbivore",1
"REACTOME_HEMOSTASIS",0.0135871709877274,0.315845811650852,0.680222121658215,480,"TUBB8:10, TUBB8B:15, H3-3A:17, ALB:48, FGG:56, GRB14:74, SLC7A9:137, ATP2B4:163, ANGPT4:165, COL1A1:169, ITGAX:191, CLU:215, PLAUR:294, KIF4A:375, SERPIND1:391, SLC7A6:404, HABP4:428, EHD2:505, WEE1:544, SRI:555, GATA1:571, KIF18A:611, GLG1:689, YES1:703, RACGAP1:748, SLC7A7:774, CD63:799, P2RX1:804, IRF2:844, P2RY12:852, PRKCD:898, HBE1:918, RCOR1:956, KLC2:962, H3C2:984, PLG:987, GP9:1037, HSPA5:1063, ORAI1:1068, SERPINA4:1090, PRKAR2A:1165, KIF5B:1173, HMG20B:1186, KNG1:1219, RAF1:1228, PPIL2:1229, PRKCQ:1287, SLC7A10:1292, ITIH3:1368, BRPF3:1380, DGKD:1400, P2RX4:1406, KIF15:1431, PRKCB:1438, CD9:1455, TEK:1462, SYK:1492, VAV3:1566, DGKA:1600, GATA2:1609, PECAM1:1636, CD36:1665, CXADR:1672, ORAI2:1673, CALU:1716, SIN3A:1729, PROC:1747, F2RL2:1756, TGFB1:1789, KLC1:1815, APOA1:1824, LYN:1888, EHD3:1944, ATP2A1:1957, PLA2G4A:1980, ATP2B1:1990, VPREB3:1993, VEGFA:1994, SH2B2:2021, ATP1B1:2100, LRP8:2104, MFN1:2156, CD109:2203, DGKE:2207, SLC7A8:2223, SERPINC1:2288, RAD51C:2309, DGKK:2314, CD44:2339, EGF:2342, MIF:2369, ITGA4:2381, A2M:2412, PIK3CB:2414, GUCY1A1:2435, SCG3:2526, TUBA1A:2559, FAM3C:2563, ADRA2B:2586, OLA1:2592, RBSN:2597, PDE5A:2608, PIK3R3:2616, COL1A2:2633, ITPK1:2634, HDAC1:2751, KIF21A:2757, JMJD1C:2766, ATP1B3:2776, F11:2857, ANXA5:2889, EHD1:2902, SLC7A11:2933, ITGB1:2950, TREM1:2958, TAGLN2:2978, KIF2C:2995, IRF1:3020, DGKB:3021, NOS2:3034, KDM1A:3054, ITGAV:3059, PRKACB:3070, LY6G6F:3108, MGLL:3122, GATA6:3166, GATA3:3183, ITPR3:3213, ORM1:3240, INPP5D:3277, CAPZA1:3299, PLAT:3312, NFE2:3324, LAMP2:3376, F12:3507, GP6:3512, PLEK:3526, APOB:3570, MERTK:3582, SH2B3:3590, PCYOX1L:3703, VEGFB:3758, PRCP:3770, KIF11:3814, CAP1:3816, FN1:3820, ORM2:3843, KIF5A:3856, CD177:3880, VAV1:3929, CD47:3965, DOCK6:3991, MPIG6B:4144, STX4:4155, FGB:4175, GUCY1B1:4213, PRKACA:4247, JAK2:8822.5, PTPN11:8822.5, MAPK3:8822.5, C1QBP:8822.5, TP53:8822.5, AKT1:8822.5, PTK2:8822.5, FGR:8822.5, PRKAR2B:8822.5, ITGAL:8822.5, ITGA2B:8822.5, TBXA2R:8822.5, SELE:8822.5, IGF1:8822.5, HGF:8822.5, PRKCH:8822.5, VCL:8822.5, RAB27B:8822.5, LCP2:8822.5, BCAR1:8822.5, KIF1B:8822.5, ITIH4:8822.5, F7:8822.5, DGKG:8822.5, GNA15:8822.5, GPC1:8822.5, PPP2R5A:8822.5, CD84:8822.5, ATP2B3:8822.5, KIF2A:8822.5, RASGRP2:8822.5, PPP2R5B:8822.5, TRPC7:8822.5, GNB5:8822.5, WDR1:8822.5, SPP2:8822.5, ACTN1:8822.5, IRAG1:8822.5, ATP2A3:8822.5, ACTB:8822.5, KIFAP3:8822.5, STXBP2:8822.5, APBB1IP:8822.5, ACTN2:8822.5, PPP2R5C:8822.5, RAPGEF3:8822.5, KIF22:8822.5, P2RX5:8822.5, APLP2:8822.5, KIF3C:8822.5, DOCK9:8822.5, DOCK3:8822.5, KIF16B:8822.5, NOS1:8822.5, THPO:8822.5, RAPGEF4:8822.5, APOH:8822.5, ANGPT2:8822.5, TGFB2:8822.5, ABL1:8822.5, P2RX6:8822.5, PICK1:8822.5, SLC16A8:8822.5, TIMP3:8822.5, PDGFB:8822.5, VTI1B:8822.5, ABHD12:8822.5, PROCR:8822.5, TUBB1:8822.5, KIF3B:8822.5, F9:8822.5, SYTL4:8822.5, DGKH:8822.5, SLC7A5:8822.5, CSK:8822.5, KLC3:8822.5, PIK3R2:8822.5, MAG:8822.5, PIK3CG:8822.5, CAV1:8822.5, SERPINE1:8822.5, RARRES2:8822.5, CDC37L1:8822.5, DOCK8:8822.5, AKAP10:8822.5, LGALS3BP:8822.5, PRKAR1A:8822.5, PF4V1:8822.5, P2RX3:8822.5, VWF:8822.5, GNB3:8822.5, PTPN6:8822.5, PHACTR2:8822.5, PDE10A:8822.5, PPP2R5D:8822.5, KIF20A:8822.5, SPARC:8822.5, PDE1A:8822.5, SDC1:8822.5, SOS1:8822.5, QSOX1:8822.5, STXBP3:8822.5, DOCK7:8822.5, MFN2:8822.5, CD2:8822.5, KIF21B:8822.5, CD48:8822.5, MPL:8822.5, F3:8822.5, MYB:8822.5, TGFB3:8822.5, EPCAM:8822.5, AKAP1:8822.5, A1BG:8822.5, PIK3CA:8822.5, CD244:8822.5, PLAU:8822.5, SRGN:8822.5, ITPR2:8822.5, CDK2:8822.5, TUBA1B:8822.5, SDC4:8822.5, F13A1:8822.5, PRKCG:8822.5, F2RL3:8822.5, AAMP:8822.5, DOCK4:8822.5, PDE11A:8822.5, ATP1B2:8822.5, KIF1A:8822.5, ACTN4:8822.5, KIF3A:8822.5, JCHAIN:8822.5, CABLES1:8822.5, DOCK2:8822.5, PHF21A:8822.5, MICAL1:8822.5, DOCK10:8822.5, SERPINE2:8822.5, GATA4:8822.5, KIF12:8822.5, TLN1:8822.5, KLC4:8822.5, TUBB2A:8822.5, TUBB2B:8822.5, ARRB1:8822.5, PPP2R1B:8822.5, THBS1:8822.5, KIF23:8822.5, KIF20B:8822.5, PRKG2:8822.5, MMRN1:8822.5, TRPC3:8822.5, CENPE:8822.5, PDPK1:8822.5, KIF2B:8822.5, ARRB2:8822.5, SLC16A3:8822.5, GRB7:8822.5, SOD1:8822.5, APP:8822.5, ITGA10:8822.5, F13B:8822.5, SCCPDH:8822.5, MANF:8822.5, AHSG:8822.5, DGKQ:8822.5, PIK3R1:8822.5, LHFPL2:8822.5, KCNMB1:8822.5, DOK2:8822.5, AK3:8822.5, DGKZ:8822.5, CABLES2:8822.5, FERMT3:8822.5, ALDOA:8822.5, ADRA2A:8822.5, VEGFC:8822.5, PRKCA:8822.5, JAM2:8822.5, APOOL:8822.5, GNA14:8822.5, KCNMA1:8822.5, TSPAN7:8822.5, ATP2B2:8822.5, PAFAH2:8822.5, F11R:8822.5, FCER1G:8822.5, CYB5R1:8822.5, PTGIR:8822.5, PDE9A:8822.5, ITGB2:8822.5, VAV2:8822.5, JAML:8822.5, ITGA5:8822.5, SDC3:8822.5, ABHD6:8822.5, PF4:8822.5, CLEC3B:8822.5, TEX264:8822.5, ITGA2:8822.5, KLKB1:8822.5, DAGLB:8822.5, KIF6:8822.5, NOS3:8822.5, KIF27:8822.5, CLEC1B:8822.5, JAM3:8822.5, TMX3:8822.5, IGF2:8822.5, STIM1:8822.5, KIFC2:8822.5, SERPINF2:8822.5, SLC3A2:8822.5, SDC2:8822.5, PCDH7:8822.5, P2RY1:8822.5, ITGAM:8822.5, ZFPM2:8822.5, KCNMB3:8822.5, PRKCE:8822.5, BSG:8822.5, GTPBP2:8822.5, CTSW:8822.5, RASGRP1:8822.5, CFL1:8822.5, OLR1:8822.5, SELP:8822.5, ATP2A2:8822.5, CHID1:8822.5, SH2B1:8822.5, TUBAL3:8822.5, THBD:8822.5, GP5:8822.5, F2:8822.5, F2R:8822.5, RAD51B:8822.5, ANXA2:8822.5, LCK:8822.5, SLC8A1:8822.5, GAS6:8822.5, TUBA8:8822.5, PROS1:8822.5, F8:8822.5, KIF18B:8822.5, PDE2A:8822.5, PRKAR1B:8822.5, TUBB4B:8822.5, SELL:8822.5, SERPINA5:8822.5, KIF19:8822.5, PPIA:8822.5, PTPN1:8822.5, NHLRC2:8822.5, FLNA:8822.5, SRC:8822.5, PDGFA:8822.5, KCNMB2:8822.5, SERPINB2:8822.5, PSAP:8822.5, CFD:8822.5, KIF13B:8822.5, PLCG2:8822.5, MAFK:8822.5, F5:8822.5, L1CAM:8822.5, GP1BB:8822.5, KIFC1:8822.5, LAT:8822.5, ITGA1:8822.5, H3C1:8822.5, P2RX2:13333, TOR4A:13364, VPS45:13480, ADRA2C:13488, GUCY1A2:13491, TFPI:13531, ISLR:13536, ECM1:13581, PIK3R6:13587, LEFTY2:13615, MAFF:13616, H3C4:13636, GNA13:13685, VEGFD:13727, CAPZB:13732, H3C8:13761, GNA12:13791, KIF9:13793, ITPR1:13796, PLCG1:13865, H3C10:13881, DGKI:13920, ENDOD1:13921, SHC1:14108, ITGB3:14170, KIF1C:14174, SLC8A2:14189, DOCK1:14213, GNAT3:14274, PDE1B:14275, TUBA4A:14319, DOCK11:14321, F10:14330, P2RX7:14344, CD74:14370, ITGA3:14390, KIF25:14405, ITGA6:14417, TIMP1:14422, TRPC6:14508, H3C11:14517, CARMIL1:14535, TUBB4A:14562, DAGLA:14602, SLC8A3:14653, KIF26A:14672, H3C13:14718, GATA5:14836, PIK3R5:14868, RHOA:14955, CDC42:15045, KIF26B:15055","Both",3
"REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS",0.0168335771351412,0.712905005383368,0.899052538991965,40,"DYNLL1:25, BID:226, PPP3CC:337, BCL2L11:610, CASP3:642, BAD:1467, E2F1:1717, TFDP2:2191, BAX:3005, DIABLO:3405, BAK1:3824, CASP8:3894, TP63:8822.5, TP73:8822.5, PPP1R13B:8822.5, MAPK3:8822.5, BMF:8822.5, GSDMD:8822.5, AKT2:8822.5, BBC3:8822.5, GSDME:8822.5, C1QBP:8822.5, APAF1:8822.5, CASP9:8822.5, NMT1:8822.5, TP53:8822.5, AKT1:8822.5, CDKN2A:8822.5, APIP:8822.5, CASP7:8822.5, AVEN:8822.5, BCL2L1:8822.5, BCL2:8822.5, SFN:8822.5, TFDP1:8822.5, PPP3R1:8822.5, DYNLL2:8822.5, XIAP:13686, UACA:14612, TP53BP2:14968","Vertivore",2
"REACTOME_MAPK3_ERK1_ACTIVATION",0.0154305415405315,0.879887689859698,0.960894915092087,8,"IL6:1551, IL6ST:2539, JAK2:8822.5, TYK2:8822.5, IL6R:8822.5, JAK1:8822.5, PTPN11:8822.5, MAPK3:8822.5","Unclear",0
"REACTOME_TRANSLESION_SYNTHESIS_BY_Y_FAMILY_DNA_POLYMERASES_BYPASSES_LESIONS_ON_DNA_TEMPLATE",-0.0832427298516603,0.0842433377315483,0.399712468236794,36,"RPS27A:59, UBA52:103, USP43:129, POLD2:160, POLE:379, SPRTN:1305, RPA1:1675, UBB:6282.5, RFC1:6282.5, RFC2:6282.5, POLD1:6282.5, UFD1:6282.5, POLD3:6282.5, POLE2:6282.5, USP10:6282.5, RFC5:6282.5, POLE4:6282.5, MAD2L2:6282.5, RPA2:6282.5, TRIM25:6282.5, POLK:6282.5, RFC3:6282.5, POLE3:6282.5, UBE2L6:6282.5, RFC4:6282.5, POLH:6282.5, POLD4:6282.5, NPLOC4:6282.5, ISG15:6282.5, REV3L:12008, PCLAF:12023, UBA7:12375, POLI:12953, REV1:13584, RPA3:13748, RCHY1:13859","Herbivore",1
"REACTOME_RECOGNITION_OF_DNA_DAMAGE_BY_PCNA_CONTAINING_REPLICATION_COMPLEX",-0.0780543698045383,0.17702517151866,0.541479737252854,25,"RPS27A:59, UBA52:103, POLD2:160, POLE:379, RPA1:1675, UBB:6282.5, RFC1:6282.5, RFC2:6282.5, POLD1:6282.5, POLD3:6282.5, POLE2:6282.5, RFC5:6282.5, POLE4:6282.5, RPA2:6282.5, RFC3:6282.5, POLE3:6282.5, RFC4:6282.5, POLD4:6282.5, RAD18:6282.5, CUL4B:6282.5, CUL4A:11096, USP1:11974, RPA3:13748, DTL:14648, UBE2B:15086","Herbivore",1
"REACTOME_TRANSLESION_SYNTHESIS_BY_POLH",-0.122818707215801,0.0890923882579185,0.406667281086145,16,"RPS27A:59, UBA52:103, SPRTN:1305, RPA1:1675, UBB:6282.5, RFC1:6282.5, RFC2:6282.5, UFD1:6282.5, RFC5:6282.5, RPA2:6282.5, RFC3:6282.5, RFC4:6282.5, POLH:6282.5, NPLOC4:6282.5, RPA3:13748, RCHY1:13859","Herbivore",1
"REACTOME_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE",-0.166088519433835,0.00407179195168064,0.0895297669375633,25,"H4C15:49, H4C14:85, H4C3:171, H4C2:238, H4C13:295, H2BC15:350, H2AC20:1105, H2AC4:1330, MPG:1467, NEIL3:1774, TINF2:6282.5, OGG1:6282.5, MUTYH:6282.5, TERF1:6282.5, H4C8:6282.5, TERF2IP:6282.5, H2BC4:6282.5, H2BC21:6282.5, H4C11:6282.5, H2BC9:6282.5, H2AC14:6282.5, H4C1:11869, ACD:13368, POT1:13500, TERF2:14700","Both",3
"REACTOME_DISPLACEMENT_OF_DNA_GLYCOSYLASE_BY_APEX1",-0.00594303655528144,0.95078003973707,0.991472765555776,9,"MPG:1467, OGG1:6282.5, MUTYH:6282.5, UNG:6282.5, APEX1:6282.5, SMUG1:6282.5, MBD4:11594, TDG:12060, NTHL1:12439","Unclear",0
"REACTOME_POLB_DEPENDENT_LONG_PATCH_BASE_EXCISION_REPAIR",-0.0885329072766005,0.385939563697407,0.73653104441252,8,"LIG1:198, PARP1:1379, FEN1:1640, APEX1:6282.5, ADPRS:6282.5, PARP2:6282.5, POLB:14024, PARG:14548","Vertivore",2
"REACTOME_RESOLUTION_OF_AP_SITES_VIA_THE_MULTIPLE_NUCLEOTIDE_PATCH_REPLACEMENT_PATHWAY",-0.11819985772586,0.0451657330712404,0.322588153954719,24,"POLD2:160, LIG1:198, POLE:379, PARP1:1379, FEN1:1640, RPA1:1675, RFC1:6282.5, RFC2:6282.5, POLD1:6282.5, POLD3:6282.5, POLE2:6282.5, RFC5:6282.5, POLE4:6282.5, RPA2:6282.5, RFC3:6282.5, POLE3:6282.5, RFC4:6282.5, POLD4:6282.5, APEX1:6282.5, ADPRS:6282.5, PARP2:6282.5, RPA3:13748, POLB:14024, PARG:14548","Vertivore",2
"REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA",0.108448256531001,0.288219404785709,0.653223757019628,8,"BID:226, PPP3CC:337, BAD:1467, AKT2:8822.5, AKT1:8822.5, BCL2:8822.5, SFN:8822.5, PPP3R1:8822.5","Vertivore",2
"REACTOME_ACTIVATION_OF_NOXA_AND_TRANSLOCATION_TO_MITOCHONDRIA",0.13070155777205,0.365320588349269,0.719075350211497,4,"E2F1:1717, TFDP2:2191, TP53:8822.5, TFDP1:8822.5","Unclear",0
"REACTOME_BH3_ONLY_PROTEINS_ASSOCIATE_WITH_AND_INACTIVATE_ANTI_APOPTOTIC_BCL_2_MEMBERS",0.135041639974375,0.216041631826569,0.589293588779583,7,"BID:226, BCL2L11:610, BAD:1467, BMF:8822.5, BBC3:8822.5, BCL2L1:8822.5, BCL2:8822.5","Both",3
"REACTOME_RELEASE_OF_APOPTOTIC_FACTORS_FROM_THE_MITOCHONDRIA",0.114996637525219,0.373218529966492,0.727009984912997,5,"BAX:3005, DIABLO:3405, BAK1:3824, GSDMD:8822.5, GSDME:8822.5","Unclear",0
"REACTOME_FORMATION_OF_APOPTOSOME",-0.138664648503195,0.174480955867261,0.539979334175454,8,"UACA:493, XIAP:1419, MAPK3:6282.5, APAF1:6282.5, CASP9:6282.5, APIP:6282.5, AVEN:6282.5, DIABLO:11700","Unclear",0
"REACTOME_ACTIVATION_OF_CASPASES_THROUGH_APOPTOSOME_MEDIATED_CLEAVAGE",-0.049854292759471,0.699467112968729,0.893158076970693,5,"XIAP:1419, APAF1:6282.5, CASP9:6282.5, CASP7:6282.5, CASP3:14463","Unclear",0
"REACTOME_CYTOCHROME_C_MEDIATED_APOPTOTIC_RESPONSE",-0.0752719524503757,0.40990841767135,0.746437542132701,10,"UACA:493, XIAP:1419, MAPK3:6282.5, APAF1:6282.5, CASP9:6282.5, APIP:6282.5, CASP7:6282.5, AVEN:6282.5, DIABLO:11700, CASP3:14463","Unclear",0
"REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS",-0.00871614021220318,0.854586800389849,0.95171859853955,37,"PLEC:4, DSG2:565, DBNL:627, SPTAN1:1669, VIM:6282.5, ROCK1:6282.5, PKP1:6282.5, ADD1:6282.5, DSP:6282.5, BMX:6282.5, STK24:6282.5, TJP1:6282.5, BIRC2:6282.5, LMNB1:6282.5, TJP2:6282.5, STK26:6282.5, DSG1:6282.5, APC:6282.5, GSN:6282.5, LMNA:6282.5, CASP7:6282.5, PTK2:6282.5, SATB1:6282.5, BCAP31:6282.5, MAPT:6282.5, OCLN:6282.5, CASP8:11211, CASP6:11470, ACIN1:12019, CDH1:12245, GAS2:12423, DSG3:12434, CLSPN:12481, FNTA:13346, PRKCQ:13818, PRKCD:14207, CASP3:14463","Both",3
"REACTOME_SMAC_XIAP_REGULATED_APOPTOTIC_RESPONSE",0.0012143631132534,0.991781796781544,0.998892433856352,6,"CASP3:642, DIABLO:3405, APAF1:8822.5, CASP9:8822.5, CASP7:8822.5, XIAP:13686","Unclear",0
"REACTOME_APOPTOTIC_FACTOR_MEDIATED_RESPONSE",-0.0392983391314106,0.586431093026862,0.845471507659912,16,"UACA:493, XIAP:1419, MAPK3:6282.5, GSDMD:6282.5, GSDME:6282.5, C1QBP:6282.5, APAF1:6282.5, CASP9:6282.5, CDKN2A:6282.5, APIP:6282.5, CASP7:6282.5, AVEN:6282.5, BAK1:11281, DIABLO:11700, BAX:12100, CASP3:14463","Unclear",0
"REACTOME_OPIOID_SIGNALLING",-0.0112557882745402,0.767256593971773,0.919012845729246,58,"CAMK2B:23, ADCY1:241, NBEA:606, PDE1B:830, GNAT3:831, ADCY2:835, ADCY8:981, ITPR1:1309, ADCY3:1563, PPP3R1:6282.5, PRKAR2B:6282.5, GNA15:6282.5, GNB5:6282.5, PRKAR1A:6282.5, GNB3:6282.5, PPP2R5D:6282.5, PDE1A:6282.5, ITPR2:6282.5, PRKCG:6282.5, PPP2R1B:6282.5, PRKCA:6282.5, GNA14:6282.5, PRKAR1B:6282.5, CAMKK1:6282.5, CAMK2A:6282.5, PDYN:6282.5, CAMKK2:6282.5, ADCY7:6282.5, PPP1R1B:6282.5, GNAL:6282.5, CAMK2G:6282.5, PLCB3:6282.5, PDE1C:6282.5, ADCY9:6282.5, PPP1CA:6282.5, GRK2:6282.5, ADCY5:6282.5, ADCY6:6282.5, PDE4B:6282.5, PRKACA:10858, PLCB4:11252, PDE4D:11332, CAMK4:11388, OPRM1:11680, ADCY4:11732, ITPR3:11892, PRKACB:12035, PLCB2:12405, CAMK2D:12869, PDE4A:12991, PLCB1:12992, PLA2G4A:13125, KPNA2:13181, PRKAR2A:13940, PRKCD:14207, PPP3CC:14768, PRKX:14895, PDE4C:14957","Unclear",0
"REACTOME_PKA_MEDIATED_PHOSPHORYLATION_OF_CREB",-0.0750841750841751,0.284018866286212,0.64903170584796,17,"ADCY1:241, NBEA:606, ADCY2:835, ADCY8:981, ADCY3:1563, PRKAR2B:6282.5, PRKAR1A:6282.5, PRKAR1B:6282.5, ADCY7:6282.5, ADCY9:6282.5, ADCY5:6282.5, ADCY6:6282.5, PRKACA:10858, ADCY4:11732, PRKACB:12035, PRKAR2A:13940, PRKX:14895","Both",3
"REACTOME_CAMK_IV_MEDIATED_PHOSPHORYLATION_OF_CREB",0.00598441529319427,0.953266334549804,0.99286485149477,8,"KPNA2:1924, CAMK2D:2236, CAMK4:3717, CAMKK1:8822.5, CAMK2A:8822.5, CAMKK2:8822.5, CAMK2G:8822.5, CAMK2B:15082","Herbivore",1
"REACTOME_CA_DEPENDENT_EVENTS",-0.0416181150383984,0.408457266819863,0.746437542132701,33,"CAMK2B:23, ADCY1:241, NBEA:606, PDE1B:830, ADCY2:835, ADCY8:981, ADCY3:1563, PRKAR2B:6282.5, PRKAR1A:6282.5, PDE1A:6282.5, PRKCG:6282.5, PRKCA:6282.5, PRKAR1B:6282.5, CAMKK1:6282.5, CAMK2A:6282.5, CAMKK2:6282.5, ADCY7:6282.5, CAMK2G:6282.5, PDE1C:6282.5, ADCY9:6282.5, GRK2:6282.5, ADCY5:6282.5, ADCY6:6282.5, PRKACA:10858, CAMK4:11388, ADCY4:11732, PRKACB:12035, CAMK2D:12869, PLA2G4A:13125, KPNA2:13181, PRKAR2A:13940, PRKCD:14207, PRKX:14895","Herbivore",1
"REACTOME_G_PROTEIN_MEDIATED_EVENTS",-0.0359112912304402,0.410453154019682,0.746437542132701,44,"CAMK2B:23, ADCY1:241, NBEA:606, PDE1B:830, GNAT3:831, ADCY2:835, ADCY8:981, ITPR1:1309, ADCY3:1563, PRKAR2B:6282.5, GNA15:6282.5, PRKAR1A:6282.5, PDE1A:6282.5, ITPR2:6282.5, PRKCG:6282.5, PRKCA:6282.5, GNA14:6282.5, PRKAR1B:6282.5, CAMKK1:6282.5, CAMK2A:6282.5, CAMKK2:6282.5, ADCY7:6282.5, GNAL:6282.5, CAMK2G:6282.5, PLCB3:6282.5, PDE1C:6282.5, ADCY9:6282.5, GRK2:6282.5, ADCY5:6282.5, ADCY6:6282.5, PRKACA:10858, PLCB4:11252, CAMK4:11388, ADCY4:11732, ITPR3:11892, PRKACB:12035, PLCB2:12405, CAMK2D:12869, PLCB1:12992, PLA2G4A:13125, KPNA2:13181, PRKAR2A:13940, PRKCD:14207, PRKX:14895","Herbivore",1
"REACTOME_ELECTRIC_TRANSMISSION_ACROSS_GAP_JUNCTIONS",-0.234767989240081,0.0690803560924687,0.37392000026053,5,"GJC1:661, GJA10:1228, PANX2:6282.5, PANX1:6282.5, GJD2:6282.5","Unclear",0
"REACTOME_PRESYNAPTIC_DEPOLARIZATION_AND_CALCIUM_CHANNEL_OPENING",-0.0801727038241561,0.380102872042375,0.73296842598118,10,"CACNB2:278, CACNA1E:676, CACNA2D2:6282.5, CACNB1:6282.5, CACNG4:6282.5, CACNA1B:6282.5, CACNA2D3:6282.5, CACNB4:6282.5, CACNB3:11669, CACNA1A:14632","Unclear",0
"REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE",0.0512581397218426,0.250981826762355,0.615673787282348,42,"GLS2:75, PPFIA3:174, SLC6A12:292, SLC1A6:517, SLC1A1:681, SYN2:970, ABAT:1412, MAOA:1897, SLC6A1:1930, SLC22A1:1947, ARL6IP5:2362, SLC5A7:2737, SLC6A11:2971, GAD1:2998, GAD2:3313, SLC1A3:3708, SLC38A2:4034, UNC13B:4067, SYN1:8822.5, SLC6A13:8822.5, SYT1:8822.5, CHAT:8822.5, RIMS1:8822.5, SLC32A1:8822.5, SLC17A7:8822.5, STX1A:8822.5, APBA1:8822.5, SLC1A2:8822.5, ALDH5A1:8822.5, SLC22A2:8822.5, GLS:8822.5, NAAA:8822.5, PPFIA2:8822.5, PPFIA4:8822.5, SLC1A7:8822.5, SYN3:8822.5, SLC18A3:8822.5, SLC18A2:14744, TSPOAP1:14833, DNAJC5:14854, LIN7C:14878, SNAP25:15084","Unclear",0
"REACTOME_NEUROTRANSMITTER_CLEARANCE",0.149725243916115,0.101182615960181,0.433330775715455,10,"COMT:192, MAOA:1897, SLC22A1:1947, ACHE:3257, LRTOMT:4159, SLC6A4:4180, SLC22A2:8822.5, ALDH2:8822.5, BCHE:8822.5, SLC6A3:8822.5","Herbivore",1
